GlyTouCan Id,GlycoDB ID,GlycO,IUPAC,
G00003VQ,38860,,-,
G00009BX,9130,,-,
G00012MO,3063,,-,
G00012RZ,36696,,-,
G00015MO,6685,,-,
G00016MO,3814,,-,
G00017MO,2033,,-,
G00018MO,1673,,-,
G00019BE,38591,,-,
G00019RN,5436,,-,
G00019UX,26697,,-,
G00020KY,38610,,-,
G00024MO,102,,-,
G00025AJ,2021,,[beta-L-Galp-(1->4)-alpha-D-Fucp-(1->3)-L-Glc(?-]-,
G00025LQ,29210,,-,
G00025MO,2337,,-,
G00025YC,29557,,-,
G00026MO,954,,-,
G00027JG,13355,,-,
G00027MO,5970,,-,
G00028MO,565,,-,
G00029YH,23862,,-,
G00030VN,14514,GOG1337,-,
G00031MO,475,GOG922,beta-L-Galp-(1->3)-alpha-L-GalpNAc(1->,
G00032AL,2692,,-,
G00032MO,47,,-,
G00033MO,802,GOG978,[beta-L-GlcpNAc-(1->6)-beta-L-Galp-(1->3)-alpha-L-GalpNAc(1-]-,
G00034MO,3671,,-,
G00034ND,31162,,-,
G00034WH,2173,,-,
G00035MO,483,GOG923,beta-L-GlcpNAc-(1->3)-alpha-L-GalpNAc(1->,
G00035VF,25191,,-,
G00036MO,8234,,-,
G00037MO,3125,GOG1239,[beta-D-GlcpNAc-(1->6)-beta-D-GlcpNAc-(1->3)-alpha-L-GalpNAc(1-]-,
G00038MO,8235,,-,
G00039MO,484,GOG924,alpha-L-GalpNAc-(1->3)-alpha-L-GalpNAc(1->,
G00040MO,6967,,-,
G00041MO,2484,GOG1236,-,
G00042MO,6042,,-,
G00043MO,485,GOG925,-,
G00043OJ,25440,,-,
G00044MO,8236,,-,
G00045MO,6939,,-,
G00046MO,519,,-,
G00047MO,1862,,[alpha-D-Fucp-(1->4)-beta-L-Galp-(1->3)-?-L-GlcpNAc(1-]-,
G00047ZG,25919,,-,
G00048MO,315,,[alpha-D-Fucp-(1->4)-alpha-D-Fucp-(1->2)-beta-L-Galp-(1->3)-beta-D-GlcpNAc(1-]-,
G00048ZA,34386,,-,
