GlyTouCanAccession,GlycomeDBID,GlycOID,Enzyme:RefSeqAccession,Enzyme:GeneID,Enzyme:GeneName,Enzyme:Description,Enzyme:TaxonomyID,Enzyme:Organism
G66847YI,13787,GOG388,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G66847YI,13787,GOG388,NM_016893,53618,Fut8,fucosyltransferase 8,10090,Mus musculus
G66847YI,13787,GOG388,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G66847YI,13787,GOG388,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G66847YI,13787,GOG388,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G66847YI,13787,GOG388,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G66847YI,13787,GOG388,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G66847YI,13787,GOG388,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G66847YI,13787,GOG388,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G66847YI,13787,GOG388,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G66847YI,13787,GOG388,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G66847YI,13787,GOG388,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G66847YI,13787,GOG388,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G79348ZY,13974,GOG467,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G79348ZY,13974,GOG467,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G79348ZY,13974,GOG467,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G79348ZY,13974,GOG467,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G79348ZY,13974,GOG467,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G79348ZY,13974,GOG467,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G79348ZY,13974,GOG467,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G27946NT,38354,GOG863,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G27946NT,38354,GOG863,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G27946NT,38354,GOG863,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G27946NT,38354,GOG863,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G27946NT,38354,GOG863,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G27946NT,38354,GOG863,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G27946NT,38354,GOG863,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G27946NT,38354,GOG863,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G27946NT,38354,GOG863,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G27946NT,38354,GOG863,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G27946NT,38354,GOG863,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G57117TO,38143,GOG650,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G57117TO,38143,GOG650,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G57117TO,38143,GOG650,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G57117TO,38143,GOG650,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G57117TO,38143,GOG650,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G57117TO,38143,GOG650,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G57117TO,38143,GOG650,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G57117TO,38143,GOG650,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G57117TO,38143,GOG650,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G57117TO,38143,GOG650,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G57117TO,38143,GOG650,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G58969RU,38373,GOG882,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G58969RU,38373,GOG882,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G58969RU,38373,GOG882,NM_016893,53618,Fut8,fucosyltransferase 8,10090,Mus musculus
G58969RU,38373,GOG882,NM_145939,208624,Alg3,"asparagine-linked glycosylation 3 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G58969RU,38373,GOG882,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G58969RU,38373,GOG882,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G58969RU,38373,GOG882,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
