GlytouCan_id,PubChem_id,UniCarb_id,Tax_id
G47548GA,CID49852447|SID252280394,-,623|9606
G57130XG,CID91851770|SID252283863,-,9606
G55236DB,-,-,9606
G04337AE,-,-,9606
G95617FJ,CID91849043|SID252280633,-,9606
G64973KT,CID52921613|SID252282166,-,9606|9913|9940|32630
G16441MS,CID91846626|SID252277748,-,9606
G37552GO,CID91859349|SID252292922,-,9606
G96045AL,CID91850959|SID252282894,-,10090|9606
G40188OO,CID91846051|SID252277051,-,9606|9913|10114
G62574BY,CID71297428|SID252276846,3191,9606
G26326KX,CID91852522|SID252284767,-,9606
G55459MJ,CID91853767|SID252286241,-,9606
G53860DH,-,-,9606
G17644VM,-,-,9606
G52776UT,-,-,9606
G09276TA,-,-,9606
G84739AM,-,-,9606
G40906DZ,CID91854597|SID252287243,-,9606
G50997KD,CID91861110|SID252295048,-,9606
G47414TF,CID91855967|SID252288886,-,9606
G64919UI,CID91861191|SID252295144,-,9606|9913
G37745TJ,-,-,9606
G27839GC,CID91862755|SID252297030,-,9606
G33019PZ,-,-,9606
G29081NM,-,-,9606|10029
G00547ZN,CID91847572|SID252278893,-,10114|9606
G33177YW,-,-,9606
G77687SU,CID91852999|SID252285336,-,9606
G95014LS,CID91846595|SID252277710,-,9606|9986
G23647WB,CID91856602|SID252289655,-,9606
G19490AF,-,-,9606|10141|10090|9823
G57153UY,-,-,9823|9606|10029|10090|10116
G11696PX,CID91849715|SID252281419,-,9606
G96010OZ,CID91856544|SID252289590,-,9606
G75905JY,CID91859945|SID252293635,-,9606
G95142MK,-,-,9606
G60881ZO,CID91848721|SID252280271,-,9606
G63474NY,CID91852450|SID252284681,-,9606
G39130DL,-,-,9606
G41469UO,-,-,9606|9913
G86881ZW,-,-,10116|9606|9823
G94946LG,CID91853740|SID252286210,-,9606
G66474IG,-,-,9606
G51963NX,CID71298146|SID252293569,181,9606
G45058HZ,CID91858730|SID252292190,-,9606|10090
G21647CX,CID91853118|SID252285467,-,9606
G42525DE,CID91861206|SID252295161,1319,9606|9823|10090|10114|10116
G05421KO,-,-,9606
G97908CK,CID91853282|SID252285665,-,9606
G93788SW,CID71297812|SID252278620,1661,7787|10029|10036|10090|10114|10141|9031|9913|9606|12721
G78915OI,CID91851566|SID252283610,-,9606
G33970VN,CID91855036|SID252287779,-,9606|10026|10029|10114
G15407YE,CID11467391|SID252294899,-,9606|9031|4932|9913|10029|10114
G47870LR,-,-,9606
G83716SQ,-,-,9606
G00706AL,CID91849921|SID252281667,-,9606
G71145QW,-,-,9606
G92734HI,-,-,9606
G78418FI,-,-,9606
G54567NU,CID91859656|SID252293288,-,9606
G38979OV,-,-,9606|9913
G02657BS,CID91859035|SID252292561,-,9606
G91704EI,CID91845014|SID252275846,-,9606
G66360FX,-,-,9606
G72348PK,CID91846938|SID252278110,-,9606
G79976GJ,-,-,9606
G93210GW,-,-,9606|9913
G54679PS,-,-,9606
G72070EH,CID91851895|SID252284011,-,9606
G72905QH,CID91855536|SID252288378,-,9606
G25953KD,CID91859289|SID252292854,-,9606
G78681QL,CID71297460|SID252291683,2195,9606|9823|10029|10036
G70213NR,CID56835915|SID252285992,-,9606|9913
G65135MY,CID91853380|SID252285790,-,9606
G48713OY,CID71297740|SID252277530,1611,9606
G97953NC,CID16211038|SID252294669,6325,9606
G53977IC,-,-,9606
G45995IV,CID71297392|SID252283362,1477,55057|7460|32644|12721|9031|9606|9913|7091|7108|7111|10029|10114|6334|9823
G14373ZY,CID91857777|SID252291054,-,9606
G93955WL,-,-,9606
G94342QN,-,-,9606
G41780OY,CID91847830|SID252279202,-,9606
G62117RR,CID70678613|SID252278316,-,9606
G60538YY,CID91850597|SID252282473,-,9606|9913
G13583BZ,CID71297727|SID252279061,1889,9606|11309|9823|9031
G88573VH,CID91862416|SID252296623,-,9606
G42468DL,-,-,9606
G71506JZ,CID91852645|SID252284915,-,9606
G44572NU,-,-,9606
G10835DD,-,-,9606
G74268SC,-,-,9606
G46915JA,CID91856370|SID252289374,-,9606
G82348BZ,CID91846271|SID252277320,-,10029|11309|6334|7108|9031|9606
G84852GW,CID91860758|SID252294627,-,9606
G49963IQ,CID53262369|SID252284308,7125,9606
G42295MA,CID71297735|SID252283838,1609,10090|9986|9606
G69411IG,CID70679233|SID252288705,-,9913|8404|9606|8399|9031
G45598BE,-,-,9606|9823
G10602EW,-,-,9606
G29725MK,-,-,9606
G66661ZY,CID91850720|SID252282616,-,9606
G87507EP,CID91848877|SID252280448,-,9606
G59804RR,-,-,9606
G63160NR,CID71297634|SID252281920,4083,151740|32644|9606
G88687UE,-,-,9606
G41063ME,CID91851797|SID252283895,-,9606
G72526DQ,CID91859855|SID252293529,-,9606
G27844UM,CID91850008|SID252281769,-,10026|9606
G77174TF,-,-,9606
G32371XG,CID91858713|SID252292173,-,9606|11309
G58645HA,CID54333164|SID252294398,-,9606|9823|9913|9986|10114|11783
G03165SD,-,-,9606|9913
G96915NW,CID91862401|SID252296605,-,9606|9913
G23935WM,CID91854016|SID252286538,-,9606
G72620YF,CID91861221|SID252295180,-,9606
G79202GR,CID91862377|SID252296575,-,9606
G50734LV,CID91860969|SID252294880,-,9606
G55259BS,CID91853038|SID252285379,-,9606
G54904QW,-,-,9606
G18612LP,-,-,9606
G24151NT,CID91847867|SID252279250,-,9606
G29011JC,CID91858077|SID252291401,-,9606|9913|9031
G70199PM,-,-,10090|9606
G46720ZO,-,-,9606
G63338KU,-,-,9606
G48059CD,CID9831622|SID252283333,4121,9913|485|528354|9606
G97083VO,CID71298105|SID252294114,5643,9606
G60012HO,-,-,9606|9823
G48638TB,CID91862840|SID252297142,309,9606
G53096UD,CID91848184|SID252279624,-,9606
G00040MO,-,-,9031|9606
G33439FJ,CID71297415|SID252283397,3175,9606
G04676YO,-,-,9606
G46222DM,CID10232075|SID252278370,238,9823|9606
G79852UE,-,-,9606
G24585JV,CID71297549|SID252296356,1105,9031|9606|9796|9986
G59636XZ,CID91861545|SID252295567,-,9606
G75022UP,CID71297417|SID252284464,3189,9606
G88884NJ,CID71297650|SID252285234,3391,9606
G88725FA,CID91850642|SID252282526,-,9913|9606|9031
G09397UV,-,-,9606
G16175MV,-,-,9606
G95801EZ,CID91850727|SID252282625,-,9606
G70548CP,CID71297442|SID252283005,3449,9606
G67362UI,CID91852011|SID252284151,-,9606
G83357TS,-,-,9606|9913
G03345AP,CID91845297|SID252276168,-,9606
G87377GM,-,-,9606
G11756ZM,CID91852255|SID252284447,-,11795|9606
G47023PF,CID71297361|SID252291254,2029,10141|32644|9606|9685
G93906VI,CID91846658|SID252277788,-,9606
G43687XR,CID91862193|SID252296345,-,9606
G14781HP,CID91858367|SID252291754,-,9606
G59909MT,-,-,9606
G25869EQ,CID91856815|SID252289901,-,9606
G63078AB,CID91848870|SID252280441,-,9606
G47961DI,CID71297868|SID252287070,1795,9606|10029|10036
G14978ZY,CID91857546|SID252290769,-,9606
G40343KH,CID71297913|SID252283265,1555,9606
G62015ZM,CID91859802|SID252293466,-,9606
G82202JN,CID91847622|SID252278957,-,9606
G29729DB,CID91854295|SID252286875,-,9606
G61222QQ,CID91852412|SID252284634,-,9606
G93520MA,CID71298241|SID252276112,125,9606
G72407WU,CID91848301|SID252279766,-,9606
G66825OG,-,-,10029|9606
G98318PN,CID91849113|SID252280714,-,9606
G51758WG,-,-,9606|9913
G95473VJ,-,-,9606
G49168NM,CID91852281|SID252284480,1323,9606|9940
G86110YJ,CID71297635|SID252278866,4085,32644|9606
G39422JF,CID91854721|SID252287394,-,9606
G62088FQ,-,-,9606
G35234CM,-,-,9606
G53002EK,CID91850407|SID252282240,-,9606
G33476GF,CID25061460|SID252297232,-,9606|487|562
G03499BP,CID440511|SID252294969,-,9606|9823|10090
G19339UM,CID71297797|SID252292800,4097,9606
