UniProt Acc(canonical),status,gene_symbol,reviewed_isoforms,unreviewed_isoforms
Q9P1W8-1,reviewed,SIRPG,Q9P1W8-1|Q9P1W8-2|Q9P1W8-3|Q9P1W8-4,
Q2NKX8-1,reviewed,ERCC6L,Q2NKX8-1,B5MDQ0-1
A6NF83-1,reviewed,NUPR2,A6NF83-1,
P24387-1,reviewed,CRHBP,P24387-1,D6RHH7-1
Q96RC9-1,reviewed,OR8B4,Q96RC9-1,
P14625-1,reviewed,HSP90B1,P14625-1,H0YIV0-1
Q96DL1-1,reviewed,NXPE2,Q96DL1-1|Q96DL1-3,
Q07444-1,reviewed,KLRC3,Q07444-1|Q07444-2,
Q9BUY5-1,reviewed,ZNF426,Q9BUY5-1,K7EME3-1
Q8TE77-1,reviewed,SSH3,Q8TE77-1|Q8TE77-2|Q8TE77-3|Q8TE77-4|Q8TE77-5,C9JUG3-1
Q9BYT8-1,reviewed,NLN,Q9BYT8-1,E9PCB6-1
Q8NB15-1,reviewed,ZNF511,Q8NB15-1|Q8NB15-2,
Q9NNX6-1,reviewed,CD209,Q9NNX6-1|Q9NNX6-2|Q9NNX6-3|Q9NNX6-4|Q9NNX6-5|Q9NNX6-6|Q9NNX6-7|Q9NNX6-8|Q9NNX6-9|Q9NNX6-10|Q9NNX6-11|Q9NNX6-12,M0R0P0-1
Q9HBK9-1,reviewed,AS3MT,Q9HBK9-1|Q9HBK9-2,A0A087WVD4-1
Q9HB96-1,reviewed,FANCE,Q9HB96-1,
P15260-1,reviewed,IFNGR1,P15260-1|P15260-2,Q5TFD1-1
Q8WWB7-1,reviewed,GLMP,Q8WWB7-1|Q8WWB7-2,V9GYY1-1
Q9UNY5-1,reviewed,ZNF232,Q9UNY5-1|Q9UNY5-2,I3L4H6-1
Q9NXB0-1,reviewed,MKS1,Q9NXB0-1|Q9NXB0-2|Q9NXB0-3,J3KSB7-1
H7C350-1,reviewed,CCDC188,H7C350-1,
H3BSY2-1,reviewed,GOLGA8M,H3BSY2-1|H3BSY2-2|H3BSY2-3,
Q96AT1-1,reviewed,KIAA1143,Q96AT1-1,
P16499-1,reviewed,PDE6A,P16499-1,F1T0K3-1
A5D8T8-1,reviewed,CLEC18A,A5D8T8-1|A5D8T8-2,H3BNR9-1
Q5JTZ5-1,reviewed,C9orf152,Q5JTZ5-1,
O14657-1,reviewed,TOR1B,O14657-1,H0Y7C8-1
Q8N1V8-1,reviewed,HGNC:31365,Q8N1V8-1,
A6NI86-1,reviewed,GOLGA6L10,A6NI86-1,A0A087X0T7-1
Q6P3V2-1,reviewed,ZNF585A,Q6P3V2-1|Q6P3V2-2,A0A0C4DFY4-1
O14607-1,reviewed,UTY,O14607-1|O14607-2|O14607-3|O14607-4|O14607-5,A6NCS7-1
Q9NVL1-1,reviewed,FAM86C1,Q9NVL1-1|Q9NVL1-2|Q9NVL1-3,B4DDJ9-1
Q13228-1,reviewed,SELENBP1,Q13228-1|Q13228-2|Q13228-3|Q13228-4,F8WCR4-1
Q96L08-1,reviewed,SUSD3,Q96L08-1|Q96L08-2|Q96L08-3,S4R444-1
Q9NRC9-1,reviewed,OTOR,Q9NRC9-1,
Q96LB9-1,reviewed,PGLYRP3,Q96LB9-1,
Q9P121-1,reviewed,NTM,Q9P121-1|Q9P121-2|Q9P121-3|Q9P121-4,F6WFR7-1
Q8N394-1,reviewed,TMTC2,Q8N394-1,A0A0B4J253-1
Q969Q4-1,reviewed,ARL11,Q969Q4-1,
